Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
COAHUILA DE ZARAGOZA,Piedras Negras,Piedras Negras,Piedras Negras I,500,400,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Piedras Negras,Piedras Negras,Piedras Negras II,500,400,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Ramos Arizpe,Alto de Norias,Alto de Norias,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,"AZUFROSA, LA",LA AZUFROSA,0.0175,0.0175,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,"COLORADAS, LAS",LAS COLORADAS ,0.035,0.035,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,"COYOTE, EL",El Coyote,0.0175,0.0175,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,"ESPERANZAS, LAS",Las Esperanzas ,0.0175,0.0175,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,Fraustro,Fraustro,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,HIGUERAS,Higueras,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,La Leona,La Leona,0.2,0.2,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,Las Norias,Las Norias,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,Mes¢n del Norte,Mes¢n del Norte,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,Pared¢n,Pared¢n,0.2,0.2,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,San Ignacio,San Ignacio,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ramos Arizpe,SANTA MARIA (SANTA MARIA DEL ROSARIO),Santa Mar¡a,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"CERCADO, EL",Cercado,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,CHAPULA,CHAPULA,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"COLORADO, EL",Colorado,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"CUCHILLA, LA",La Cuchilla,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,ENCARNACION DE GUZMAN,ENCARNACION DE GUZMAN,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,GOMEZ FARIAS (NUEVO GOMEZ FARIAS),NUEVO GOMEZ FARIAS,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,HEDIONDA GRANDE,Hedionda Grande,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,JAZMINAL,Jazminal,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,LLANOS DE LA UNION,Llanos de la Uni¢n,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"MANGAS, LAS",Las Mangas,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"MEZQUITE, EL",El Mezquite,0.12,0.12,Osmosis Inversa
