Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
JALISCO,Ixtlahuacan del R¡o,Ixtlahuacan Del R¡o,Ixtlahuacan del R¡o,20,20,Clarificaci¢n Convencional
JALISCO,Ixtlahuacan del R¡o,San Antonio de los V zquez,San Antonio de los V zquez,25,25,Clarificaci¢n Convencional
JALISCO,Ojuelos Jalisco,Matancillas,Matanzas,3,3,Osmosis Inversa
JALISCO,Pihuamo,Pihuamo,Pihuamo Arroyo La Suiza,25,25,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,HORIZONTE AZUL,Mojoneras,300,300,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Las Palmas De Arriba,Las Palmas,50,50,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,Mojoneras,600,480,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,"Puerto Vallarta ""R¡o Mascota""",300,300,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,"Puerto Vallarta ""San Luis""",100,60,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,Puerto Vallarta I (Mismaloya),22,22,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,Puerto Vallarta II (R¡o Cuale),150,150,Clarificaci¢n Convencional
JALISCO,Puerto Vallarta,Puerto Vallarta,San Luis,40,40,Clarificaci¢n Convencional
JALISCO,San Juan de los Lagos,San Juan de los Lagos,San Juan de los Lagos,40,40,Clarificaci¢n Convencional
JALISCO,San Mart¡n de Hidalgo,San Jer¢nimo,San Jer¢nimo,2,2,Clarificaci¢n Convencional
JALISCO,San Mart¡n de Hidalgo,San Mart¡n De Hidalgo,San Mart¡n de Hidalgo,10,10,Clarificaci¢n Convencional
JALISCO,Tala,Tala,Tala,30,30,Clarificaci¢n Convencional
JALISCO,Teocaltiche,"TABLERO, EL",EL TABLERO/ LA TRINIDAD,2,2,Osmosis Inversa
JALISCO,Tepatitl n de Morelos,Capilla De Guadalupe,ACUEDUCTO EL SALTO TEPATITLAN,300,230,Clarificaci¢n Convencional
JALISCO,Tepatitl n de Morelos,Tepatitl n de Morelos,El Salto,230,230,Clarificaci¢n Convencional
JALISCO,Tepatitl n de Morelos,Tepatitl n de Morelos,Tepatitl n,100,80,Clarificaci¢n Convencional
JALISCO,Tepatitl n de Morelos,Tepatitl n de Morelos,Viveros,80,80,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,COFRADIA DE LA LUZ,Cofrad¡a de la luz,16,16,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,San Sebastian El Grande,RESIDENCIAL SAN PABLO,12,12,Osmosis Inversa
JALISCO,Tlajomulco de Zu¤iga,"Tijera, La",LA TIJERA,20,20,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,"Tijera, La",VILLAS DE LA TIJERA,4,4,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,ALTUS BOSQUES,5,5,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,CONCHA RESIDENCIAL,3,3,Otro
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,FRAC. LAS LUCES,10,10,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,FRAC. REAL DEL SOL,5,5,Otro
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,"FRACCIONAMIENTO ""LA CIBELES""",10,10,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,"FRACCIONAMIENTO ""SORRENTO""",15,15,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,FRACCIONAMIENTO VILLA ALTA,10,10,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,Haciendas San Miguel,36,36,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,NUEVA GALICIA,10,10,Otro
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,Sendero de Mnteverde,5,5,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Tlajomulco de Zu¤iga,Tulipanes de Amapas,10,10,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,TRES GALLOS,TRES GALLOS,2,2,Clarificaci¢n Convencional
JALISCO,Tlajomulco de Zu¤iga,Zapote Del Valle,Zapote del Valle,800,600,Clarificaci¢n Convencional
JALISCO,Tlaquepaque,Tlaquepaque,Guadalajara II (Las Huertas),2000,2000,Clarificaci¢n Convencional
JALISCO,Tonal ,Tonal ,Guadalajara III (San Gaspar),3000,3000,Clarificaci¢n Convencional
JALISCO,Yahualica de Gonz lez Gallo,Yahualica de Gonz lez Gallo,Yahualica,30,30,Clarificaci¢n Convencional
MEXICO,Almoloya del R¡o,Almoloya del R¡o,Almoloya del R¡o,580,450,Filtraci¢n Directa
MEXICO,Atizap n de Zaragoza,Viejo Mad¡n,Mad¡n,600,450,Clarificaci¢n Convencional
MEXICO,Chimalhuac n,Chimalhuac n,Chimalhuac n,20,20,Adsorci¢n
MEXICO,Chimalhuac n,Chimalhuac n,Ramal Pe¤on-Texcoco,630,630,Remoci¢n de Fierro - Manganeso
MEXICO,El Oro,El Oro De Hidalgo,"El Oro, Presa La Victoria ",20,15,Clarificaci¢n Convencional
MEXICO,Ixtapan de la sal,Ixtapan de la Sal,Ixtapan de la Sal,100,70,Clarificaci¢n de Patente
MEXICO,Ixtapan de la sal,Llano de la Uni¢n,Llano de la Uni¢n,4,2,Clarificaci¢n Convencional
MEXICO,La Paz,Los Reyes Acaquilpan,Planta Pot. La Escuela,50,50,Otro
MEXICO,La Paz,Los Reyes Acaquilpan,Planta Pot. La Puerta,100,60,Clarificaci¢n Convencional
MEXICO,La Paz,Los Reyes Acaquilpan,Planta Pot. Los Puentes,70,60,Clarificaci¢n Convencional
MEXICO,La Paz,Los Reyes Acaquilpan,Planta Potabilizadora Ancon,80,60,Clarificaci¢n Convencional
MEXICO,Tenancingo,Tenancingo de Degollado,"Tenancingo, Pozo La Alameda",40,40,Remoci¢n de Fierro - Manganeso
MEXICO,Texcaltitl n,Texcaltitl n,Potabiliadora de Texcaltitlan,7,5,Clarificaci¢n Convencional
MEXICO,Tonatico,Tonatico,"Tonatico, Cabecera",20,15,Clarificaci¢n Convencional
MEXICO,Villa de Allende,Berros (Los Berros),Los Berros,24000,15000,Clarificaci¢n Convencional
MICHOACAN DE OCAMPO,L zaro C rdenas,Ciudad L zaro C rdenas,L zaro C rdenas I (Ing. Agust¡n Garc¡a Arias),420,380,Clarificaci¢n Convencional
MICHOACAN DE OCAMPO,Morelia,Morelia,Canal San Miguel,120,80,Filtraci¢n Directa
MICHOACAN DE OCAMPO,Morelia,Morelia,Mintzita,1500,1000,Clarificaci¢n Convencional
MICHOACAN DE OCAMPO,Morelia,Morelia,Santa Mar¡a,650,600,Clarificaci¢n Convencional
MORELOS,Ayala,Tenextepango,Tenextepango,30,30,Otro
MORELOS,Ocuituco,Ocuituco,Patr¢n,5,5,Clarificaci¢n Convencional
MORELOS,Tlaltizap n,Tlaltizap n,El Salto,26,26,Clarificaci¢n Convencional
MORELOS,Xochitepec,Alpuyeca,Ciudad Salud,5.1,5.1,Ablandamiento
NUEVO LEON,Allende,Ciudad de Allende,Allende,100,75.15,Clarificaci¢n Convencional
NUEVO LEON,An huac,An huac,An huac,100,76.46,Clarificaci¢n Convencional
NUEVO LEON,An huac,Colombia,Colombia,20,13.55,Clarificaci¢n Convencional
NUEVO LEON,Cadereyta Jim‚nez,Cadereyta,Cadereyta,300,216.75,Clarificaci¢n Convencional
NUEVO LEON,China,China,Ac. China - los Aldamas,220,91.85,Filtraci¢n Directa
NUEVO LEON,China,La Barreta (La Barreta dos),La Barreta,5,1.94,Osmosis Inversa
NUEVO LEON,Ci‚nega de Flores,Ci‚nega De Flores,Ac. Cerritos No. 1,50,34.94,Clarificaci¢n Convencional
NUEVO LEON,Doctor Arroyo,Los Medina,Los Medina,12,8.2,Osmosis Inversa
NUEVO LEON,Ju rez,San Roque,San Roque,12000,8379,Filtraci¢n Directa
NUEVO LEON,Linares,Linares,Linares,114,69.33,Clarificaci¢n Convencional
NUEVO LEON,Los Ramones,Los Ramones,Los Ramones,25,9.2,Filtraci¢n Lenta
NUEVO LEON,Santiago,Santiago,La Boca,2400,589,Clarificaci¢n Convencional
OAXACA,Oaxaca de Ju rez,Oaxaca de Ju rez,Fort¡n I (P. Vieja),240,122,Remoci¢n de Fierro - Manganeso
OAXACA,Oaxaca de Ju rez,Oaxaca de Ju rez,San Antonio de la Cal,350,20,Clarificaci¢n Convencional
OAXACA,Oaxaca de Ju rez,Oaxaca de Ju rez,San Felipe del Agua,50,4,Clarificaci¢n Convencional
OAXACA,San Juan Juquila Mixes,San Juan Juquila Mixes,Juquila,1.3,1.3,Clarificaci¢n Convencional
PUEBLA,Cuautlancingo,San Juan Cuautlancingo,PLANTA PRETRATAMIENTO POZO JIN,55,41,Filtraci¢n Directa
PUEBLA,Puebla,Heroica Puebla de Zaragoza,Puebla (San Felipe),360,182.5,Osmosis Inversa
PUEBLA,Puebla,Heroica Puebla de Zaragoza,Quetzalc¢atl,180,80.5,Ablandamiento
PUEBLA,San Andres Cholula,San Andres Cholula,Parque Lineal ,90,60,Osmosis Inversa
PUEBLA,Zacatl n,Santa Martha,Zacatl n,100,84,Clarificaci¢n Convencional
QUERETARO DE ARTEAGA,Cadereyta de Montes,Cadereyta,Acueducto 2,1500,1258,Clarificaci¢n Convencional
QUERETARO DE ARTEAGA,Jalpan de Serra,Jalpan,Jalpan,50,50,Clarificaci¢n de Patente
QUERETARO DE ARTEAGA,Jalpan de Serra,Tancoyol,Tancoyol,22,20,Clarificaci¢n de Patente
QUERETARO DE ARTEAGA,Pinal de Amoles,El Chuveje,Chuveje,25,25,Clarificaci¢n de Patente
QUERETARO DE ARTEAGA,San Joaqu¡n,San Joaqu¡n,Aguacatillo ,4.5,4.5,Clarificaci¢n de Patente
SAN LUIS POTOSI,Ciudad valles,Ciudad valles,Ciudad Valles,600,400,Clarificaci¢n Convencional
SAN LUIS POTOSI,bano,bano,bano Chapacao I (Pujalcoy),10,9,Clarificaci¢n de Patente
SAN LUIS POTOSI,Matehuala,Los Mendoza,Los Mendoza,4.15,4.15,Osmosis Inversa
SAN LUIS POTOSI,San Luis Potos¡,San Luis Potos¡,Realito,1000,630,Clarificaci¢n Convencional
SAN LUIS POTOSI,San Luis Potos¡,San Luis Potos¡,San Luis Potos¡ I (Filtros),480,250,Clarificaci¢n Convencional
SAN LUIS POTOSI,San Luis Potos¡,San Luis Potos¡,San Luis Potos¡ II (Lomas),40,25,Clarificaci¢n Convencional
SAN LUIS POTOSI,Tamuin,Tamuin,El Puente,20,20,Filtraci¢n Directa
SAN LUIS POTOSI,Tamuin,Tamuin,La Ci‚nega,18.5,18.5,Filtraci¢n Directa
SAN LUIS POTOSI,Tierra Nueva,Tierra Nueva,Tierra Nueva,28,28,Ablandamiento
SAN LUIS POTOSI,Villa Hidalgo,El Coyote,El Coyote,0.5,0.5,Filtraci¢n Directa
SINALOA,Ahome,Ahome, Ahome,100,55,Clarificaci¢n de Patente
SINALOA,Ahome,Alfonso G. Calder¢n (Poblado Siete),Poblado No. 7,50,30,Clarificaci¢n de Patente
SINALOA,Ahome,Bachomobampo n£mero dos,Bachomobampo N£mero Dos,20,14,Clarificaci¢n de Patente
SINALOA,Ahome,Bachomobampo n£mero uno,Bachomobampo N£mero Uno,20,13,Clarificaci¢n de Patente
SINALOA,Ahome,Benito Ju rez,Benito Ju rez,50,15,Clarificaci¢n de Patente
SINALOA,Ahome,Cerro Cabez¢n (El Chorrito),Cerro Cabez¢n,20,12,Clarificaci¢n de Patente
SINALOA,Ahome,Cinco de Mayo,Ejido 5 de Mayo,25,9,Clarificaci¢n de Patente
SINALOA,Ahome,Cobayme,Cobayme,5,5,Clarificaci¢n de Patente
SINALOA,Ahome,Compuertas,Compuertas,70,19,Clarificaci¢n de Patente
SINALOA,Ahome,Dolores Hidalgo,Ejido Dolores Hidalgo,20,16,Clarificaci¢n de Patente
SINALOA,Ahome,El Colorado,El Colorado,30,12,Clarificaci¢n de Patente
SINALOA,Ahome,El Refugio,El Refugio,25,12,Clarificaci¢n de Patente
SINALOA,Ahome,Felipe µngeles,Goros No. 2,25,19,Clarificaci¢n Convencional
SINALOA,Ahome,Flor Azul,Flor Azul,25,17,Clarificaci¢n de Patente
SINALOA,Ahome,Guillermo Ch vez Talamantes,Ch vez Talamantes,50,11,Clarificaci¢n de Patente
SINALOA,Ahome,Gustavo D¡az Ordaz (El Carrizo),Villa G. D¡az Ordaz II,200,189,Clarificaci¢n de Patente
SINALOA,Ahome,Heriberto Valdez Romero (El Guayabo),El Guayabo,60,51,Clarificaci¢n de Patente
SINALOA,Ahome,Higuera De Zaragoza,Higuera de Zaragoza,80,56,Clarificaci¢n de Patente
SINALOA,Ahome,Huacaporito,Guacaporito,25,14,Clarificaci¢n de Patente
SINALOA,Ahome,Jitzamuri,Jitzamuri,30,30,Clarificaci¢n Convencional
SINALOA,Ahome,La Arrocera,La Arrocera,20,10,Clarificaci¢n de Patente
SINALOA,Ahome,Las Grullas Margen Derecha,Grullas Margen Derecha,20,20,Clarificaci¢n de Patente
SINALOA,Ahome,Las Grullas Margen Izquierda,Grullas Margen Izquierda,40,40,Clarificaci¢n de Patente
SINALOA,Ahome,Los Mochis,Ejido Emiliano Zapata,30,30,Clarificaci¢n de Patente
SINALOA,Ahome,Los Mochis,Los Mochis I - Hern ndez Ter n,800,660,Clarificaci¢n Convencional
SINALOA,Ahome,Los Mochis,Los Mochis II,300,300,Clarificaci¢n de Patente
SINALOA,Ahome,Los Mochis,Los Mochis III,400,400,Clarificaci¢n Convencional
SINALOA,Ahome,Los Mochis,Los Mochis IV,200,200,Clarificaci¢n de Patente
SINALOA,Ahome,Los Mochis,Santa Blanca,2,2,Clarificaci¢n de Patente
SINALOA,Ahome,Matacahui (El Campito),Ejido Matacahui,5,4,Clarificaci¢n de Patente
SINALOA,Ahome,Mochis (Ejido Mochis),Ejido Mochis,60,22,Clarificaci¢n de Patente
SINALOA,Ahome,Nuevo San Miguel,Nuevo San Miguel,25,20,Clarificaci¢n Convencional
SINALOA,Ahome,Ohuira,Ohuira,25,8,Clarificaci¢n de Patente
SINALOA,Ahome,Paredones,Paredones,10,7,Clarificaci¢n de Patente
SINALOA,Ahome,Poblado N£mero Seis (Los Natoches),Los Natoches),25,6,Clarificaci¢n Convencional
SINALOA,Ahome,Primero De Mayo,Primero de Mayo,50,16,Clarificaci¢n de Patente
SINALOA,Ahome,Pueblo Nuevo Luis Echeverr¡a,Ejido Luis Echeverr¡a,25,15,Clarificaci¢n de Patente
SINALOA,Ahome,Ricardo Flores Mag¢n,Ejido R. Flores Mag¢n,30,30,Clarificaci¢n de Patente
SINALOA,Ahome,San Jos‚ de Ahome,San Jos‚ de Ahome,50,17,Clarificaci¢n de Patente
SINALOA,Ahome,San Miguel ÿZapotitl n,San Miguel Zapotitl n,70,47,Clarificaci¢n de Patente
SINALOA,Ahome,Topolobampo,F‚lix Barreiro,100,60,Clarificaci¢n de Patente
SINALOA,Ahome,Topolobampo,Topolobampo II,20,20,Clarificaci¢n de Patente
SINALOA,Ahome,Vallejo (Porvenir Vallejo),Ejido Vallejo,20,11,Clarificaci¢n de Patente
SINALOA,Ahome,Zapotillo Uno (Zapotillo Viejo),Zapotillo N§ 1,25,10,Clarificaci¢n de Patente
SINALOA,Angostura,Campo El General,Campo El General,3.5,3.5,Clarificaci¢n de Patente
SINALOA,Angostura,Colonia Agr¡cola M‚xico (Palmitas),Palmitas ,50,35,Clarificaci¢n de Patente
SINALOA,Angostura,Colonia Agr¡cola Sinaloa,Colonia Sinaloa,5,5,Clarificaci¢n de Patente
SINALOA,Angostura,Colonia Independencia (Chinitos),Colonia Independencia,60,50,Clarificaci¢n Convencional
SINALOA,Angostura,Damaso C rdenas,Damaso C rdenas,20,20,Clarificaci¢n Convencional
SINALOA,Angostura,El Nuevo Ostional,El Nuevo ostional II,25,25,Clarificaci¢n de Patente
SINALOA,Angostura,Estaci¢n Acatita,Estaci n Acatita,5,5,Clarificaci¢n de Patente
SINALOA,Angostura,La Reforma,La Reforma I,20,20,Clarificaci¢n de Patente
SINALOA,Angostura,La Reforma,La Reforma II,20,20,Clarificaci¢n de Patente
SINALOA,Angostura,La Reforma,La Reforma III,30,30,Clarificaci¢n de Patente
SINALOA,Angostura,Leopoldo S nchez Celis (El Gato de Lara),Gato de Lara,20,20,Clarificaci¢n de Patente
SINALOA,Choix,Los Picachos,Picachos,8,6,Clarificaci¢n de Patente
SINALOA,Culiac n,Adolfo L¢pez Mateos (El Tamarindo),Adolfo L¢pez Mateos - Platanera,40,30,Remoci¢n de Fierro - Manganeso
SINALOA,Culiac n,Arkadia 1 (El Siete),Arcadia,2,2,Clarificaci¢n de Patente
SINALOA,Culiac n,Campo Arbaco,Arbaco,2,2,Clarificaci¢n de Patente
SINALOA,Culiac n,Campo Cinco y Medio,Cinco y Medio y Seis,5,5,Clarificaci¢n de Patente
SINALOA,Culiac n,Costa Rica,Costa Rica I,70,70,Clarificaci¢n de Patente
SINALOA,Culiac n,Costa Rica,Costa Rica II,40,40,Clarificaci¢n de Patente
SINALOA,Culiac n,Costa Rica,Costa Rica III,100,100,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Country I,150,150,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Country II,100,100,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Isleta I,225,225,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Isleta II,150,150,Clarificaci¢n Convencional
SINALOA,Culiac n,Culiac n Rosales,Culiac n Isleta III,100,90,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Isleta IV,100,85,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Isleta IV - A1,100,85,Clarificaci¢n de Patente
SINALOA,Culiac n,Culiac n Rosales,Culiac n Juan de Dios B tiz,300,233,Clarificaci¢n Convencional
SINALOA,Culiac n,Culiac n Rosales,Culiac n Juan de Dios B tiz I,500,426,Clarificaci¢n Convencional
SINALOA,Culiac n,Culiac n Rosales,Culiac n La Primavera,1000,897,Clarificaci¢n Convencional
SINALOA,Culiac n,Doroteo Arango,Doroteo Arango,13,13,Clarificaci¢n Convencional
SINALOA,Culiac n,Ejido Can n,Ejido Can n,10,10,Clarificaci¢n de Patente
SINALOA,Culiac n,Ejido Comanito,Comanito,15,13,Clarificaci¢n Convencional
SINALOA,Culiac n,Ejido el µlamo,El µlamo,5,5,Clarificaci¢n de Patente
SINALOA,Culiac n,Ejido Mezquitillo (Chapeteado),Mezquitillo Chapeteado,7,7,Clarificaci¢n de Patente
SINALOA,Culiac n,Ejido Mezquitillo (La Curva),Ejido Mezquitillo La Curva,8,5,Clarificaci¢n de Patente
SINALOA,Culiac n,Ejido Mezquitillo N£mero Dos,Ejido Mesquitillo N£mero Dos,10,10,Clarificaci¢n de Patente
SINALOA,Culiac n,El Alhuate,El Alhuate,2,2,Clarificaci¢n de Patente
SINALOA,Culiac n,El Lim¢n De Los Ramos,Lim¢n de los Ramos,20,20,Clarificaci¢n Convencional
SINALOA,Culiac n,Obispo,Estaci¢n Obispo,40,40,Clarificaci¢n Convencional
SINALOA,Culiac n,Secci¢n San Rafael (Las Casitas),San Rafael,3,3,Clarificaci¢n de Patente
SINALOA,Culiac n,Soyatita,Soyatita,13,13,Clarificaci¢n de Patente
SINALOA,El Fuerte,Agua de las arenas,Agua de las Arenas,5,4,Clarificaci¢n de Patente
SINALOA,El Fuerte,Benito Ju rez (Vinateria),Vinateria,45,35,Clarificaci¢n de Patente
SINALOA,El Fuerte,Charay,Charay,30,30,Clarificaci¢n de Patente
SINALOA,El Fuerte,Constancia,Constancia,60,30,Clarificaci¢n de Patente
SINALOA,El Fuerte,Dos de Abril,2 de Abril,20,20,Clarificaci¢n de Patente
SINALOA,El Fuerte,El Fuerte,El Fuerte,150,120,Clarificaci¢n de Patente
SINALOA,El Fuerte,El Parnaso,El Parnaso,1,1,Clarificaci¢n de Patente
SINALOA,El Fuerte,"HIGUERAS DE LOS NATOCHES, LAS",HIGUERA DE LOS NATOCHES,20,20,Clarificaci¢n de Patente
SINALOA,El Fuerte,Jahuara Primero (Los Leyva),Jahuara - Las Lineas,20,17,Clarificaci¢n de Patente
SINALOA,El Fuerte,La Palma,La Palma,5,3,Clarificaci¢n de Patente
SINALOA,El Fuerte,Mochicahui,Mochicahui,40,40,Clarificaci¢n de Patente
SINALOA,El Fuerte,POCHOTAL,POCHOTAL,15,15,Clarificaci¢n de Patente
SINALOA,El Fuerte,San Blas,San blas,30,30,Clarificaci¢n de Patente
SINALOA,El Fuerte,San Jos‚ de Cahuinahua,Cahuinahua,2,2,Clarificaci¢n de Patente
SINALOA,El Fuerte,Teroque Viejo,El Teroque Viejo,20,15,Clarificaci¢n de Patente
SINALOA,Elota,Campo san Juan,San Juan,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,15 de Octubre,Ejido 15 de Octubre,2,0.63,Clarificaci¢n de Patente
SINALOA,Guasave,Adolfo Ru¡z Cortines,Ru¡z Cortines,100,68.63,Clarificaci¢n Convencional
SINALOA,Guasave,Bachoco,Bachoco,20,20,Clarificaci¢n de Patente
SINALOA,Guasave,Campo 38,Campo 38,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,Campo El Tajito,El Tajito,20,20,Clarificaci¢n Convencional
SINALOA,Guasave,Chino de los L¢pez,Chino de Los L¢pez,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,"DORADO NO. 2, EL",El Dorado 2,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,Ejido Chorohui,Chorohui,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,Ejido El Tecomate,Ejido Tecomate,5,3,Clarificaci¢n de Patente
SINALOA,Guasave,Ejido Treinta y Ocho (Ejido Treinta y Ochito),Campo Treinta y Ochito,13,10,Clarificaci¢n de Patente
SINALOA,Guasave,El Huitussi,Huitussi,40,40,Clarificaci¢n Convencional
SINALOA,Guasave,El Pochote,El Pochote,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,El Progreso,El Progreso,30,20,Clarificaci¢n de Patente
SINALOA,Guasave,Gabriel Leyva Solano (Benito Ju rez),Benito Ju rez,75,75,Clarificaci¢n Convencional
SINALOA,Guasave,Gabriel Leyva Solano (Benito Ju rez),Gabriel Leyva Solano,100,73,Clarificaci¢n de Patente
SINALOA,Guasave,Guasave,Guasave,500,125,Clarificaci¢n de Patente
SINALOA,Guasave,"HORNOS NUMERO DOS, LOS",Los hornos n£mero 2,5,5,Clarificaci¢n de Patente
SINALOA,Guasave,Javier Rojo G¢mez,Rojo G¢mez,40,30,Clarificaci¢n Convencional
SINALOA,Guasave,Juan Jos‚ R¡os,Juan Jos‚ R¡os,230,190,Clarificaci¢n Convencional
SINALOA,Guasave,La Brecha,La Brecha,30,20,Clarificaci¢n de Patente
SINALOA,Guasave,La Pichihuila,La Pichigila,5,5,Clarificaci¢n de Patente
SINALOA,Guasave,Las Ca¤adas N£mero Uno,Ejido Las Ca¤adas,5,5,Clarificaci¢n de Patente
SINALOA,Guasave,Las Colonias (Colonia µngel Flores),Ejido Las Colonias,5,5,Clarificaci¢n de Patente
SINALOA,Guasave,Las Culebras,Las Culebras - Las Flores,5,4,Clarificaci¢n de Patente
SINALOA,Guasave,Las Quemazones,Las Quemazones,10,10,Clarificaci¢n de Patente
SINALOA,Guasave,Miguel Alem n,Miguel Alem n,40,40,Clarificaci¢n Convencional
SINALOA,Guasave,"PITAHAYITAS, LAS",Las Pitahayitas,5,5,Clarificaci¢n de Patente
SINALOA,Guasave,SAN PASCUAL,San Pascual,2,2,Clarificaci¢n de Patente
SINALOA,Guasave,San Rafael (General Miguel Valle D valos),San Rafael,40,30,Clarificaci¢n Convencional
SINALOA,Guasave,Valle de Huyaqui (Los Solares),Valle de Huyaqui,2,2,Clarificaci¢n de Patente
SINALOA,Mazatl n,Mazatl n,Los Horcones,1750,1950,Clarificaci¢n Convencional
SINALOA,Mocorito,Guamuchilera Segunda,La Guamuchilera,50,50,Clarificaci¢n Convencional
SINALOA,Mocorito,Melchor Ocampo,Melchor Ocampo,25,25,Clarificaci¢n Convencional
SINALOA,Mocorito,Potrero de los S nchez (Estaci¢n Techa),Potrero de Los S nchez,20,14,Clarificaci¢n de Patente
SINALOA,Mocorito,Zapotillo,Zapotillo,5,3,Clarificaci¢n de Patente
SINALOA,Navolato,Constituyentes de Sinaloa,Constituyentes,30,25,Clarificaci¢n Convencional
SINALOA,Navolato,Juan Aldama (El Tigre),El Tigre,40,30,Clarificaci¢n de Patente
SINALOA,Salvador Alvarado,"BATALLON DE LOS MONTOYA, EL",Batall¢n de los Montoya,5,5,Clarificaci¢n de Patente
SINALOA,Salvador Alvarado,CAITIME,Caitime,10,10,Clarificaci¢n de Patente
SINALOA,Salvador Alvarado,CERRO BOLA,Cerro Bola,2,2,Clarificaci¢n de Patente
SINALOA,Salvador Alvarado,Guamuchil,Guamuchil,300,100,Clarificaci¢n Convencional
SINALOA,Salvador Alvarado,Gustavo D¡az Ordaz,Gustavo D¡az Ordaz,2,2,Clarificaci¢n de Patente
SINALOA,Salvador Alvarado,TORO MANCHADO,Toro Manchado,2,2,Clarificaci¢n de Patente
SINALOA,Sinaloa,Batamote,Ejido Batamote,40,40,Clarificaci¢n Convencional
SINALOA,Sinaloa,Ru¡z Cortines No. 1,A. Ru¡z Cortinez No. 1,10,10,Clarificaci¢n de Patente
SINALOA,Sinaloa,Ru¡z Cortines N£mero Tres,A. Ru¡z Cortinez No. 3,20,20,Clarificaci¢n Convencional
SINALOA,Sinaloa,Tobobampo,Jos‚ Mar¡a Morelos - Tobobampo,10,10,Clarificaci¢n Convencional
SONORA,Cajeme,Antonio Rosales,Antonio Rosales,15,9.14,Clarificaci¢n Convencional
SONORA,Cajeme,Ciudad Obreg¢n,Cd. Obreg¢n (Col. Villa Bonita),120,63.87,Clarificaci¢n Convencional
SONORA,Cajeme,Ciudad Obreg¢n,Cd. Obreg¢n I,600,329.2,Clarificaci¢n Convencional
SONORA,Cajeme,Ciudad Obreg¢n,Cd. Obreg¢n II,600,329.2,Clarificaci¢n Convencional
SONORA,Cajeme,Ciudad Obreg¢n,Cd. Obreg¢n III,600,460.32,Clarificaci¢n Convencional
SONORA,Cajeme,Ciudad Obreg¢n,Cd. Obreg¢n IV,600,460.32,Clarificaci¢n Convencional
SONORA,Cajeme,Colonia Allende (El Dieciocho),Col. Allende,26.83,13.06,Clarificaci¢n Convencional
SONORA,Cajeme,KILOMETRO NUEVE (EL PUEBLITO),KILOMETRO 9,10,3.9,Clarificaci¢n Convencional
SONORA,Cajeme,Los Hornos,Hornos,11,5.01,Clarificaci¢n Convencional
SONORA,Cajeme,Providencia,Providencia,18.36,2.95,Clarificaci¢n Convencional
SONORA,Hermosillo,Hermosillo,Hermosillo II,600,380.85,Clarificaci¢n Convencional
SONORA,Hermosillo,Hermosillo,Piedra Bola,1500,1060.7,Clarificaci¢n Convencional
